"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9431","View Workout report","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","12743","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","13749","Remove past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","20720","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","11923","Creating a future workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","1754","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6665","Verify that shoes successfully removed","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","2338","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5510","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","3668","Correct logout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","24926","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-20","failed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","7053","Creating a past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","8221","Quickly add a workout using the button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","10404","Editing a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","2008","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5186","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","7814","Edit shoes","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","7921","Verify that shoes successfully added","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","5945","Negative check for adding a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
