"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2794","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","6477","View Workout report","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","3380","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","1042","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1099","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","7528","Creating a future workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","6995","Negative check for adding a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","5232","Quickly add a workout using the button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","4752","Verify that shoes successfully added","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","5901","Creating a past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","22702","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","15424","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1251","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5853","Verify that shoes successfully removed","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","5678","Edit shoes","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","5334","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","11174","Editing a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","12156","Remove past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","2763","Correct logout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
