"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4155","Verify that shoes successfully added","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","5343","Quickly add a workout using the button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","8297","Creating a past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","14594","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5190","Edit shoes","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","4071","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","3634","Correct logout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","4051","Verify that shoes successfully removed","FinalSurge suite","2026-07-20","failed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","10001","Editing a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","1085","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","3086","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","10049","Remove past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","20537","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","1063","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","9791","View Workout report","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","4896","Negative check for adding a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","7813","Creating a future workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","3812","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","1237","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
