"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7020","Edit shoes","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","1213","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6692","Verify that shoes successfully added","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","3418","Correct logout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","10238","Editing a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","5121","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","1568","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","15664","Remove past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","3874","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","1265","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","8058","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","6324","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","7237","Verify that shoes successfully removed","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","5793","Negative check for adding a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","9542","Creating a past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","14391","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","8956","Creating a future workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","10161","View Workout report","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","8470","Quickly add a workout using the button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
