"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5941","Negative check for adding a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","11999","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","12070","View Workout report","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","17045","Editing a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","7115","Verify that shoes successfully added","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","7687","Edit shoes","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","6627","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","7277","Creating a past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","4495","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","13302","Remove past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","8909","Verify that shoes successfully removed","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","1363","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","20273","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","7691","Quickly add a workout using the button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","8004","Creating a future workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","1659","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","4104","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","4457","Correct logout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","1661","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
