"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8902","Editing a workout","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","7348","Creating a past workout through the dashboard","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","4126","Negative check for adding a workout","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","14794","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","7209","Creating a future workout through the dashboard","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","1085","checkLoginWithNegativeCred","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","9738","checkLoginWithNegativeCred","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1177","checkLoginWithNegativeCred","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","8543","Remove past workout through the dashboard","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","4544","Quickly add a workout using the button","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","948","checkLoginWithNegativeCred","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","2696","Correct logout","FinalSurge suite","2026-07-10","passed","2026-07-10","tests.LogoutTest","Thread 2","tests.LogoutTest","positiveLogoutTest"
