"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4533","Negative check for adding a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","4165","Verify that shoes successfully removed","FinalSurge suite","2026-07-20","failed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","984","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","3837","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","4161","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","2641","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","2833","Verify that shoes successfully added","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","5162","Quickly add a workout using the button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","5274","Creating a past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","9344","Editing a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","13042","Remove past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","14651","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","1318","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6999","Creating a future workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","6944","Edit shoes","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","986","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","3146","Correct logout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","13687","View Workout report","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","2982","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
