"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5757","Negative check for adding a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","3324","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","10836","Remove past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","5572","Quickly add a workout using the button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","7137","Creating a future workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","3092","Correct logout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","6675","Edit shoes","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","1381","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6930","View Workout report","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","11304","Editing a workout","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","3530","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","3578","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","1326","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","12898","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","20959","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","1350","checkLoginWithNegativeCred","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","4209","Verify that shoes successfully added","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","7154","Creating a past workout through the dashboard","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","6851","Verify that shoes successfully removed","FinalSurge suite","2026-07-29","passed","2026-07-29","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
