"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5211","Verify that shoes successfully removed","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","5447","Quickly add a workout using the button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","3436","Correct logout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","4500","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","3445","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","6296","Creating a future workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","11361","Remove past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","4717","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","13602","Editing a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","12578","View Workout report","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","5923","Edit shoes","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","11409","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","6466","Negative check for adding a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","1402","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","3498","Verify that shoes successfully added","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","1257","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5508","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","1280","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6008","Creating a past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
