"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24702","Remove past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","7121","Quickly add a workout using the button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","1419","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1615","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1588","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","9655","Creating a past workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","9245","Verify that shoes successfully added","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","14134","View Workout report","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","10150","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-20","failed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","6154","Creating a future workout through the dashboard","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","3781","Correct logout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","4224","Verify that shoes successfully removed","FinalSurge suite","2026-07-20","failed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","4598","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","14154","Editing a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","8205","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","19400","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","12918","checkLoginWithNegativeCred","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5000","Edit shoes","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","11193","Negative check for adding a workout","FinalSurge suite","2026-07-20","passed","2026-07-20","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
