"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7208","Quickly add a workout using the button","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","2805","Correct logout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","2931","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","3277","Verify that shoes successfully added","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","1037","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","13678","Remove past workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","7389","Negative check for adding a workout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","6151","Edit shoes","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","38172","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","6300","View Workout report","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","16361","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","14932","Creating a past workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","5529","Verify that shoes successfully removed","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","13623","Editing a workout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","6991","Creating a future workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","2854","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","3339","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
"","1136","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","997","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
