"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7052","Negative check for adding a workout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","2877","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","12814","Remove past workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","4092","Verify that a shoe cannot be added with an empty Shoe Name","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","negativeAddShoesTest"
"","11934","Creating a past workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","11832","Editing a workout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","12151","Creating a future workout through the dashboard","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","1581","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","21980","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","9031","Edit shoes","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveEditShoesTest"
"","4108","Calculate paces using Intensity calculator","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalculatorTest","Thread 2","tests.CalculatorTest","positiveIntensityCalculatorTest"
"","5220","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","6538","Quickly add a workout using the button","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","2333","checkLoginWithNegativeCred","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","5714","Verify that shoes successfully added","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","positiveAddShoesTest"
"","6602","Verify that shoes successfully removed","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ShoesTest","Thread 2","tests.ShoesTest","deleteShoesTest"
"","6262","Correct logout","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.LogoutTest","Thread 1","tests.LogoutTest","positiveLogoutTest"
"","11066","View Workout report","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.ReportTest","Thread 2","tests.ReportTest","positiveViewWorkoutReport"
"","5047","Negative check for calculation paces using Intensity calculator","FinalSurge suite","2026-07-27","passed","2026-07-27","tests.CalculatorTest","Thread 2","tests.CalculatorTest","negativeIntensityCalculatorTest"
